epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6403.39,0.90297,0.61637,0.00832,0.87361,0.92833,0.9476,0.4736,1.70024,0.72969,0.02485,0.000848969,0.000848969,0.000848969
43,6541.52,0.90506,0.6004,0.00908,0.9366,0.92572,0.96812,0.54328,1.47936,0.62728,0.02097,0.000834822,0.000834822,0.000834822
44,6691.97,0.87526,0.56953,0.00863,0.92525,0.92059,0.96802,0.50568,1.61855,0.6602,0.02334,0.000820675,0.000820675,0.000820675
45,6798.6,0.8826,0.58686,0.00838,0.92583,0.93064,0.96808,0.48543,1.65043,0.61122,0.02504,0.000806528,0.000806528,0.000806528
46,6928.57,0.91374,0.57296,0.00879,0.90189,0.95453,0.96589,0.48123,1.66969,0.6326,0.02441,0.00079238,0.00079238,0.00079238
47,7075.62,0.87445,0.52729,0.00852,0.90721,0.95581,0.96958,0.49393,1.61308,0.637,0.02442,0.000778233,0.000778233,0.000778233
48,7217.52,0.89053,0.57444,0.00822,0.93757,0.90517,0.9631,0.50597,1.62785,0.61049,0.02332,0.000764086,0.000764086,0.000764086
49,7348.55,0.85145,0.54702,0.00791,0.90933,0.95863,0.96562,0.45577,1.82828,0.69086,0.0265,0.000749939,0.000749939,0.000749939
50,7479.9,0.85385,0.55162,0.00818,0.90132,0.9601,0.95961,0.49482,1.62465,0.69263,0.02359,0.000735792,0.000735792,0.000735792
51,7596.76,0.86175,0.53403,0.00808,0.91251,0.92747,0.95017,0.47463,1.66511,0.683,0.02451,0.000721645,0.000721645,0.000721645
52,7706.21,0.86262,0.53458,0.00819,0.88767,0.9583,0.95639,0.46869,1.74123,0.70178,0.02549,0.000707498,0.000707498,0.000707498
53,7822.15,0.86896,0.54286,0.00805,0.88314,0.95562,0.9587,0.49807,1.62634,0.64813,0.02366,0.000693351,0.000693351,0.000693351
54,7944.76,0.82509,0.52307,0.00851,0.93254,0.93787,0.96612,0.42875,1.8133,0.67751,0.02848,0.000679204,0.000679204,0.000679204
55,8119.38,0.8924,0.54767,0.00831,0.94179,0.91992,0.9702,0.5085,1.60163,0.61833,0.02284,0.000665057,0.000665057,0.000665057
56,8262.13,0.827,0.48338,0.0078,0.94518,0.89891,0.96458,0.48851,1.68945,0.63836,0.02503,0.000650909,0.000650909,0.000650909
